name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,53,231518999,,yes,,,"POLYGON ((-111.9911296 32.9407573, -111.9911127 32.9407459, -111.9910867 32.9407283, -111.991364 32.9404387, -111.9913838 32.9404521, -111.9914069 32.9404677, -111.9912864 32.9405936, -111.9913169 32.9406142, -111.9912831 32.9406495, -111.9912525 32.9406289, -111.9911296 32.9407573))",POINT (-111.9912498 32.9405999),230.0,2476.0
,54,450117481,,house,,,"POLYGON ((-112.0433761 33.0595955, -112.0432568 33.0595965, -112.0432589 33.0597769, -112.0433782 33.0597759, -112.0433761 33.0595955))",POINT (-112.0433175 33.0596862),222.0,2389.8
,55,921807062,,,parking,,"POLYGON ((-111.9903989 33.2688086, -111.9900881 33.2685545, -111.9890062 33.2694795, -111.9893168 33.2697335, -111.9903989 33.2688086))",POINT (-111.9897025 33.269144),5804.9,62483.1
,56,232385455,,yes,,,"POLYGON ((-111.9505396 33.0297375, -111.9501969 33.0297233, -111.9502067 33.0295583, -111.9505493 33.0295724, -111.9505396 33.0297375))",POINT (-111.9503731 33.0296479),587.0,6318.8
,57,230288733,,yes,,,"POLYGON ((-112.0506837 33.2316999, -112.0504659 33.2316979, -112.0504673 33.2315952, -112.0506851 33.2315973, -112.0506837 33.2316999))",POINT (-112.0505755 33.2316476),231.4,2491.2
,58,231522205,,yes,,,"POLYGON ((-111.9829552 33.0085329, -111.9828458 33.0085324, -111.9828777 33.0042731, -111.9829871 33.0042737, -111.9829552 33.0085329))",POINT (-111.9829164 33.006403),4840.3,52100.8
,59,231522138,,yes,,,"POLYGON ((-111.982989 33.0028256, -111.9828669 33.0028251, -111.9828685 33.0025591, -111.9829906 33.0025596, -111.982989 33.0028256))",POINT (-111.9829287 33.0026924),337.8,3635.9
,60,191591655,,yes,,,"POLYGON ((-112.0589726 33.0527731, -112.059042 33.0527731, -112.059042 33.0527575, -112.0591723 33.0527575, -112.0591723 33.0527193, -112.0592969 33.0527193, -112.0592969 33.0526272, -112.0594173 33.0526272, -112.0594173 33.0527193, -112.0595746 33.0527193, -112.0595746 33.0529388, -112.0595179 33.0529388, -112.0595179 33.0530564, -112.059042 33.0530564, -112.059042 33.0530337, -112.0587261 33.0530337, -112.0587261 33.0529105, -112.0587247 33.0529105, -112.0587247 33.0526853, -112.0589726 33.0526853, -112.0589726 33.0527731))",POINT (-112.0591491 33.0528718),2936.3,31605.5
,61,497740190,,yes,,,"POLYGON ((-111.9849759 33.2699524, -111.9848474 33.2698849, -111.9848098 33.2699349, -111.9849383 33.2700025, -111.9849759 33.2699524))",POINT (-111.9848929 33.2699437),92.9,999.9
,62,231522225,,yes,,,"POLYGON ((-111.9793097 33.0021086, -111.9793035 32.9994615, -111.9794036 32.9994612, -111.9794098 33.0021083, -111.9793097 33.0021086))",POINT (-111.9793566 33.0007849),2743.8,29533.9
Maricopa Public Library,63,430884072,,civic,library,,"POLYGON ((-112.0150715 33.0741345, -112.0150793 33.0742958, -112.0146106 33.0743117, -112.0146028 33.0741504, -112.0147527 33.0741454, -112.0147521 33.0741312, -112.0149237 33.0741253, -112.0149244 33.0741395, -112.0150715 33.0741345))",POINT (-112.014841 33.0742204),808.2,8699.1
,64,200742447,,yes,,,"POLYGON ((-112.046118 33.0704093, -112.0461564 33.0703332, -112.045894 33.0702402, -112.0458556 33.0703164, -112.046118 33.0704093))",POINT (-112.046006 33.0703248),241.9,2604.3
Harrah's Parking Garage,65,524454199,,commercial,,,"POLYGON ((-112.0512893 33.0251934, -112.0512923 33.0246804, -112.0523204 33.0246817, -112.0523181 33.0252044, -112.0512893 33.0251934))",POINT (-112.0518066 33.02494),5513.4,59346.2
,66,230288710,,yes,,,"POLYGON ((-112.0012662 33.2638364, -112.0011761 33.2638351, -112.0011793 33.263679, -112.0012693 33.2636803, -112.0012662 33.2638364))",POINT (-112.0012227 33.2637577),144.5,1555.4
,67,257531385,,yes,,,"POLYGON ((-112.0468162 33.0618032, -112.0468908 33.0618025, -112.0468971 33.0622217, -112.0468224 33.0622224, -112.0468162 33.0618032))",POINT (-112.0468566 33.0620125),325.2,3500.2
