name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
Arizona Federal Theatre,30,30704257.0,,theatre,,,"POLYGON ((-112.080044 33.4491058, -112.0800433 33.4491375, -112.0800412 33.449189, -112.0795522 33.4491903, -112.0793561 33.4491918, -112.0791821 33.4491936, -112.0791827 33.4491255, -112.0791833 33.4487466, -112.079131 33.4487475, -112.0791266 33.4484446, -112.0791248 33.4483797, -112.0792367 33.4483829, -112.0792859 33.4483847, -112.0792908 33.4483733, -112.079934 33.4483692, -112.0799392 33.4483937, -112.0800394 33.4483956, -112.0800422 33.4485138, -112.080044 33.4491058))",POINT (-112.0795993 33.4487771),7426.2,79934.9,23
City of Phoenix Transit Building,31,30704302.0,,yes,,,"POLYGON ((-112.0756621 33.451667, -112.0756613 33.4516107, -112.0755966 33.4516113, -112.0755962 33.4515826, -112.0754707 33.4515838, -112.0754711 33.4516126, -112.0753965 33.4516133, -112.0753968 33.451635, -112.0753972 33.4516668, -112.0753663 33.4516671, -112.0753697 33.451904, -112.0753998 33.4519037, -112.0754006 33.451961, -112.0754654 33.4519604, -112.0754658 33.4519861, -112.0755962 33.4519848, -112.0755958 33.4519635, -112.0756609 33.4519629, -112.0756601 33.4519081, -112.0756961 33.4519078, -112.0756926 33.4516667, -112.0756621 33.451667))",POINT (-112.0755313 33.4517856),1173.4,12630.5,18
Maricopa County Administration Building,32,30704344.0,,public,,,"POLYGON ((-112.0787289 33.4468905, -112.0786875 33.4468909, -112.078688 33.4469198, -112.0783155 33.4469238, -112.0783151 33.4468926, -112.0781181 33.4468947, -112.0781175 33.4468552, -112.0780825 33.4468556, -112.0780451 33.446856, -112.0780445 33.4468201, -112.078002 33.4468205, -112.0780011 33.4467599, -112.0779577 33.4467604, -112.0779556 33.446626, -112.0779555 33.4465945, -112.0779217 33.4465946, -112.0779218 33.4465856, -112.0779196 33.4462903, -112.0779594 33.4462899, -112.0779589 33.4462563, -112.0785015 33.4462504, -112.0785008 33.4462076, -112.0787713 33.4462047, -112.0787729 33.4463105, -112.0788112 33.4463101, -112.0788127 33.4464082, -112.0787744 33.4464086, -112.0787748 33.4464322, -112.0787218 33.4464327, -112.0787247 33.446614, -112.0787178 33.446614, -112.078718 33.446625, -112.0787186 33.4466656, -112.0787188 33.4466768, -112.0787256 33.4466768, -112.0787289 33.4468905))",POINT (-112.0783602 33.4465577),5422.7,58369.6,23
State of Arizona parking structure,33,30704369.0,,parking,,,"POLYGON ((-112.0868131 33.4484135, -112.0868133 33.4484773, -112.0868745 33.4484771, -112.0868753 33.4487126, -112.0869539 33.4487124, -112.086954 33.4487407, -112.0869542 33.448809, -112.0868794 33.4488091, -112.0868804 33.4491073, -112.0868217 33.4491075, -112.0868219 33.4491495, -112.0860815 33.4491512, -112.0860791 33.4484152, -112.0868131 33.4484135))",POINT (-112.0864804 33.4487832),6057.9,65207.1,22
State of Arizona parking structure,34,30704400.0,,parking,,,"POLYGON ((-112.0932076 33.4464576, -112.0918601 33.4464648, -112.0918601 33.4464218, -112.0918 33.4464218, -112.0918 33.4461783, -112.0918515 33.4461783, -112.0918515 33.4461425, -112.0932076 33.4461353, -112.0932076 33.4461711, -112.0932677 33.4461711, -112.0932677 33.4464146, -112.0932076 33.4464146, -112.0932076 33.4464576))",POINT (-112.0925334 33.4462997),4776.4,51412.2,22
State of Arizona parking structure,35,30704434.0,,parking,,,"POLYGON ((-112.0980393 33.4506405, -112.0979763 33.4506405, -112.0979763 33.4506871, -112.0974734 33.4506871, -112.0974734 33.4506414, -112.0974123 33.4506414, -112.0974123 33.4498958, -112.0974675 33.4498958, -112.0974675 33.4498464, -112.0978133 33.4498464, -112.0978133 33.4498169, -112.0979705 33.4498169, -112.0979705 33.4498464, -112.0979883 33.4498464, -112.0979883 33.4498891, -112.0980393 33.4498891, -112.0980393 33.4506405))",POINT (-112.0977275 33.4502622),5367.6,57776.7,17
,36,30720080.0,,commercial,,,"POLYGON ((-112.1008552 33.4468249, -112.1008552 33.4467912, -112.1005658 33.4467912, -112.1005658 33.4466802, -112.1004948 33.4466803, -112.1004947 33.4460931, -112.1008858 33.446093, -112.1008858 33.446243, -112.1010338 33.446243, -112.1010338 33.4460859, -112.1014818 33.4460858, -112.1014819 33.446331, -112.1010357 33.4463311, -112.1010358 33.44637, -112.1010093 33.44637, -112.1010093 33.4466583, -112.1010412 33.4466583, -112.1010413 33.446824, -112.1008552 33.4468249))",POINT (-112.1008768 33.4463986),4706.7,50662.4,21
Arizona Department of Transportation,37,30720312.0,,yes,,,"POLYGON ((-112.0970161 33.4464328, -112.0969744 33.4464328, -112.0969744 33.4464452, -112.0968377 33.4464452, -112.0968377 33.4463955, -112.0967142 33.4463955, -112.0967142 33.4463904, -112.0966896 33.4463904, -112.0966896 33.4463937, -112.0965269 33.4463937, -112.0965269 33.4464438, -112.0959801 33.4464438, -112.0959801 33.4460552, -112.097035 33.4460552, -112.097035 33.4463377, -112.0970161 33.4463377, -112.0970161 33.4464328))",POINT (-112.0964977 33.446242),4040.7,43494.2,22
State of Arizona office building,38,30720332.0,,public,,,"POLYGON ((-112.0968014 33.4468815, -112.0964704 33.4468815, -112.0964704 33.4465016, -112.0968014 33.4465016, -112.0968014 33.4468815))",POINT (-112.0966359 33.4466916),1296.7,13957.3,22
State of Arizona parking structure,39,30720488.0,,parking,,,"POLYGON ((-112.0849538 33.4491218, -112.0849323 33.4491211, -112.0849238 33.4485983, -112.0854708 33.4485955, -112.08561 33.4485948, -112.0856087 33.4486388, -112.0856663 33.4486417, -112.0857272 33.4486383, -112.0857331 33.4490756, -112.0856144 33.449075, -112.0856156 33.4491214, -112.0849538 33.4491218))",POINT (-112.0853206 33.4488588),4231.9,45552.0,22
Arizona Industrial Commission,40,30720547.0,,yes,,,"POLYGON ((-112.0844679 33.4488616, -112.0841675 33.4488616, -112.0841675 33.4487542, -112.0841074 33.4487542, -112.0841074 33.4487972, -112.0838327 33.4487972, -112.0838327 33.4485322, -112.0847168 33.4485322, -112.0847168 33.4486898, -112.0844679 33.4486898, -112.0844679 33.4488616))",POINT (-112.0842422 33.4486682),2311.8,24884.1,22
State of Arizona Office of the Attorney General,41,30720624.0,,yes,,,"POLYGON ((-112.0900806 33.4477893, -112.0886879 33.4477981, -112.0886845 33.4474311, -112.0900772 33.4474223, -112.0900806 33.4477893))",POINT (-112.0893825 33.4476102),5266.9,56692.2,22
Carnegie Public Library,42,30720638.0,,library,,,"POLYGON ((-112.0871384 33.447759, -112.0870943 33.4477588, -112.0870661 33.4477592, -112.0870625 33.4477699, -112.0870048 33.447767, -112.0869509 33.4477703, -112.086951 33.4477601, -112.0868711 33.4477588, -112.0868696 33.447729, -112.0868605 33.447726, -112.0868605 33.4476447, -112.0868732 33.4476403, -112.0868758 33.4476181, -112.0868113 33.4476046, -112.0868169 33.447581, -112.0868886 33.4474909, -112.0869591 33.4474716, -112.0870218 33.4474718, -112.0870114 33.4475176, -112.0870545 33.447534, -112.0870902 33.4475499, -112.0871103 33.4475811, -112.0871221 33.4476121, -112.0871397 33.447615, -112.0871418 33.4476331, -112.087153 33.4476359, -112.0871526 33.4477249, -112.0871381 33.4477244, -112.0871384 33.447759))",POINT (-112.0869877 33.4476336),743.9,8007.3,22
Arizona Corporation Commission,43,30720705.0,,public,,,"POLYGON ((-112.0890605 33.4486802, -112.0883014 33.4486829, -112.0882999 33.44839, -112.089059 33.4483873, -112.0890605 33.4486802))",POINT (-112.0886802 33.4485351),2292.9,24680.8,22
State of Arizona office building,44,30720731.0,,public,,,"POLYGON ((-112.0901612 33.448661, -112.0898993 33.4486621, -112.0898994 33.448691, -112.0898244 33.4486914, -112.0898242 33.4486624, -112.0895739 33.4486635, -112.0895723 33.4484193, -112.0898226 33.4484182, -112.0898224 33.4483932, -112.0898975 33.4483929, -112.0898976 33.4484179, -112.0901597 33.4484168, -112.0901612 33.448661))",POINT (-112.0898666 33.4485404),1519.9,16359.7,22
City of Phoenix Police Department Headquarters,45,30721429.0,,police,,,"POLYGON ((-112.0823821 33.4487919, -112.0816097 33.4487919, -112.0816097 33.448418, -112.0819925 33.448418, -112.0823821 33.448418, -112.0823821 33.4487919))",POINT (-112.0819959 33.448605),2979.7,32073.2,22
Madison Street Jail,46,30721641.0,,prison,,,"POLYGON ((-112.0774449 33.4459119, -112.0772217 33.4459119, -112.0772217 33.4458761, -112.0769127 33.4458761, -112.0769127 33.4459119, -112.0766982 33.4459119, -112.0766982 33.4458761, -112.0766467 33.4458761, -112.0766467 33.4457113, -112.0766896 33.4457113, -112.0766896 33.4454535, -112.0766467 33.4454535, -112.0766467 33.4452673, -112.0766896 33.4452673, -112.0766896 33.4452243, -112.0769041 33.4452243, -112.0769041 33.4452602, -112.0772131 33.4452602, -112.0772131 33.4452243, -112.0774449 33.4452243, -112.0774449 33.4452602, -112.0774878 33.4452602, -112.0774878 33.4454249, -112.0774449 33.4454249, -112.0774449 33.445697, -112.0774878 33.445697, -112.0774878 33.4458761, -112.0774449 33.4458761, -112.0774449 33.4459119))",POINT (-112.0770674 33.445568),5431.9,58468.0,23
Republic Media,47,30721760.0,,yes,,,"POLYGON ((-112.0710946 33.4520895, -112.0706768 33.4520917, -112.0706638 33.4515383, -112.0710026 33.4515435, -112.0710273 33.451545, -112.0710517 33.4515502, -112.071075 33.4515658, -112.0710884 33.4515888, -112.0710883 33.4516363, -112.0710946 33.4520895))",POINT (-112.0708793 33.4518164),2370.4,25514.6,18
